"","sample_name","sample_year","site","plot","canopy_position","leaf_deltaN15","leaf_fiber_percent","leaf_lignin_percent","leaf_cellulose_percent","leafN","leafC","c2n_leaf","LMA","species_scientific","species_common","family","plant_type","succession","PFT","species_code","instrument","sample_id","project","pine_needle_oldnew","spruce_needle_age","leaf_water_content","comments"
"403","BI01_ACSM_T",2008,"BI","BI01","T",NA,NA,NA,NA,2.758,48.98,17.761,72.40248425,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI01_ACSM_T_2008","FFT",NA,NA,94.33309,NA
"404","BI01_ACSM_T",2010,"BI","BI01","T",NA,34.54759107,19.76106541,14.78652566,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3",NA,NA,"FFT",NA,NA,NA,NA
"405","BI01_QURU_B",2008,"BI","BI01","B",NA,NA,NA,NA,3.36,50.271,14.961,48.6641286,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI01_QURU_B_2008","FFT",NA,NA,72.84055,NA
"406","BI01_QURU_M",2008,"BI","BI01","M",NA,NA,NA,NA,3.223,50.591,15.698,75.74587181,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI01_QURU_M_2008","FFT",NA,NA,95.56431,NA
"407","BI01_QURU_T",2008,"BI","BI01","T",NA,NA,NA,NA,3.331,51.491,15.457,96.11692113,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI01_QURU_T_2008","FFT",NA,NA,121.09053,NA
"408","BI01_TIAM_B",2008,"BI","BI01","B",NA,NA,NA,NA,3.922,46.078,11.748,26.7704588,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BI01_TIAM_B_2008","FFT",NA,NA,65.36972,NA
"409","BI01_TIAM_M",2008,"BI","BI01","M",NA,NA,NA,NA,NA,NA,NA,45.64504442,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BI01_TIAM_M_2008","FFT",NA,NA,91.70981,NA
"410","BI01_TIAM_T",2008,"BI","BI01","T",NA,NA,NA,NA,NA,NA,NA,79.74766382,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BI01_TIAM_T_2008","FFT",NA,NA,131.16392,NA
"411","BI02_ACRU_B",2008,"BI","BI02","B",NA,NA,NA,NA,2.685,50.476,18.797,41.60834876,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI02_ACRU_B_2008","FFT",NA,NA,64.85092,NA
"412","BI02_ACRU_M",2008,"BI","BI02","M",NA,NA,NA,NA,2.881,49.228,17.089,48.1633917,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI02_ACRU_M_2008","FFT",NA,NA,76.91452,NA
"413","BI02_ACRU_T",2008,"BI","BI02","T",NA,NA,NA,NA,2.654,52.104,19.633,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI02_ACRU_T_2008","FFT",NA,NA,NA,NA
"414","BI02_ACSM_B",2008,"BI","BI02","B",NA,NA,NA,NA,2.961,48.658,16.433,27.8067512,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI02_ACSM_B_2008","FFT",NA,NA,48.58312,NA
"415","BI02_ACSM_M",2008,"BI","BI02","M",NA,NA,NA,NA,2.907,47.955,16.495,33.68289485,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI02_ACSM_M_2008","FFT",NA,NA,53.40995,NA
"416","BI02_ACSM_T",2008,"BI","BI02","T",NA,NA,NA,NA,2.4975,49.4365,19.796,49.39045888,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI02_ACSM_T_2008","FFT",NA,NA,69.2089,NA
"417","BI02_QUAL_B",2008,"BI","BI02","B",NA,NA,NA,NA,3.54,50.277,14.202,45.65504602,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI02_QUAL_B_2008","FFT",NA,NA,66.82239,NA
"418","BI02_QUAL_M",2008,"BI","BI02","M",NA,NA,NA,NA,4.033,48.972,12.143,61.7380736,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI02_QUAL_M_2008","FFT",NA,NA,76.99101,NA
"419","BI02_QUAL_T",2008,"BI","BI02","T",NA,NA,NA,NA,3.38,51.119,15.122,84.99422065,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI02_QUAL_T_2008","FFT",NA,NA,114.06015,NA
"420","BI02_QURU_B",2008,"BI","BI02","B",NA,NA,NA,NA,3.247,50.6,15.583,58.31394515,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI02_QURU_B_2008","FFT",NA,NA,83.94303,NA
"421","BI02_QURU_M",2008,"BI","BI02","M",NA,NA,NA,NA,3.611,52.163,14.447,83.63011587,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI02_QURU_M_2008","FFT",NA,NA,114.79466,NA
"422","BI02_QURU_T",2008,"BI","BI02","T",NA,NA,NA,NA,3.436,52.097,15.164,87.82736133,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI02_QURU_T_2008","FFT",NA,NA,113.16823,NA
"423","BI02_TIAM_B",2008,"BI","BI02","B",NA,NA,NA,NA,3.788,47.5475,12.553,27.60055055,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BI02_TIAM_B_2008","FFT",NA,NA,64.12459,NA
"424","BI02_TIAM_M",2008,"BI","BI02","M",NA,NA,NA,NA,4.175,48.046,11.508,43.8612151,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BI02_TIAM_M_2008","FFT",NA,NA,102.098,NA
"425","BI02_TIAM_T",2008,"BI","BI02","T",NA,NA,NA,NA,3.9865,48.8145,12.2475,64.2178556,"Tilia americana","American basswood","Tiliaceae","broadleaf","late","late hardwood","TIAM","ASD FieldSpec 3","FFT_BI02_TIAM_T_2008","FFT",NA,NA,117.41794,NA
"426","BI03_ACSM_B",2008,"BI","BI03","B",NA,34.81821814,16.89972034,17.9184978,2.827,48.425,17.127,23.18978119,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI03_ACSM_B_2008","FFT",NA,NA,44.07108,NA
"427","BI03_ACSM_M",2008,"BI","BI03","M",NA,31.63462761,14.33151996,17.30310765,2.881,47.909,16.627,28.12154461,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI03_ACSM_M_2008","FFT",NA,NA,50.47188,NA
"428","BI03_ACSM_T",2008,"BI","BI03","T",NA,26.869476032,13.132832422,13.736643612,2.385,48.036,20.139,79.01314586,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_BI03_ACSM_T_2008","FFT",NA,NA,90.45064,NA
"429","BI03_OSVI_B",2008,"BI","BI03","B",NA,55.48589477,30.53822886,24.94766591,2.779,46.036,16.566,20.12972484,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI","ASD FieldSpec 3","FFT_BI03_OSVI_B_2008","FFT",NA,NA,25.73284,NA
"430","BI03_OSVI_M",2008,"BI","BI03","M",NA,55.33941581,27.49804235,27.84137346,2.905,45.345,15.61,21.27110099,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI","ASD FieldSpec 3","FFT_BI03_OSVI_M_2008","FFT",NA,NA,30.81716,NA
"431","BI03_OSVI_T",2008,"BI","BI03","T",NA,50.84076968,39.26790568,11.572864,2.879,45.774,15.897,30.63989189,"Ostrya virginiana","hophornbeam","Betulaceae","broadleaf","mid","mid hardwood","OSVI","ASD FieldSpec 3","FFT_BI03_OSVI_T_2008","FFT",NA,NA,43.33656,NA
"432","BI03_QUAL_B",2008,"BI","BI03","B",NA,35.5785347866667,14.6776522566667,20.9008825333333,3.72133333333333,49.2396666666667,13.2313333333333,54.66912217,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI03_QUAL_B_2008","FFT",NA,NA,80.16739,NA
"433","BI03_QUAL_M",2008,"BI","BI03","M",NA,33.49327269,15.55242584,17.94084685,3.8265,49.5035,12.937,66.51110114,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI03_QUAL_M_2008","FFT",NA,NA,92.14018,NA
"434","BI03_QUAL_T",2008,"BI","BI03","T",NA,NA,NA,NA,NA,NA,NA,93.17779847,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI03_QUAL_T_2008","FFT",NA,NA,107.91193,NA
"435","BI03_QURU_B",2008,"BI","BI03","B",NA,NA,NA,NA,2.969,47.852,16.116,63.39825709,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI03_QURU_B_2008","FFT",NA,NA,86.4333,NA
"436","BI03_QURU_M",2008,"BI","BI03","M",NA,36.86838426,17.71519872,19.15318554,3.133,51.799,16.536,70.40879266,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI03_QURU_M_2008","FFT",NA,NA,96.53665,NA
"437","BI03_QURU_T",2008,"BI","BI03","T",NA,39.750203435,27.386033585,12.36416985,3.302,51.1805,15.4985,87.93229247,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI03_QURU_T_2008","FFT",NA,NA,113.64042,NA
"438","BI04_ACRU_B",2008,"BI","BI04","B",NA,NA,NA,NA,2.404,49.446,20.571,38.70570274,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI04_ACRU_B_2008","FFT",NA,NA,57.17177,NA
"439","BI04_ACRU_M",2008,"BI","BI04","M",NA,NA,NA,NA,2.408,50.041,20.785,46.06476897,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI04_ACRU_M_2008","FFT",NA,NA,69.77921,NA
"440","BI04_ACRU_T",2008,"BI","BI04","T",NA,NA,NA,NA,2.633,50.655,19.236,63.69319992,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI04_ACRU_T_2008","FFT",NA,NA,85.51888,NA
"441","BI04_QUAL_B",2008,"BI","BI04","B",NA,NA,NA,NA,3.401,48.178,14.165,41.00091962,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL",NA,NA,"FFT",NA,NA,56.96311,NA
"442","BI04_QUAL_M",2008,"BI","BI04","M",NA,NA,NA,NA,3.979,49.045,12.326,58.34171195,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI04_QUAL_M_2008","FFT",NA,NA,87.6175,NA
"443","BI04_QUAL_T",2008,"BI","BI04","T",NA,NA,NA,NA,3.351,50.283,15.006,103.0423761,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI04_QUAL_T_2008","FFT",NA,NA,130.7442,NA
"444","BI04_QURU_B",2008,"BI","BI04","B",NA,NA,NA,NA,3.306,47.149,14.26,58.21504617,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI04_QURU_B_2008","FFT",NA,NA,77.51573,NA
"445","BI04_QURU_M",2008,"BI","BI04","M",NA,NA,NA,NA,3.471,50.588,14.575,64.95237356,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI04_QURU_M_2008","FFT",NA,NA,82.47587,NA
"446","BI04_QURU_T",2008,"BI","BI04","T",NA,NA,NA,NA,3.258,51.146,15.697,101.6155107,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI04_QURU_T_2008","FFT",NA,NA,124.67201,NA
"447","BI05_ACRU_B",2008,"BI","BI05","B",NA,29.1478659,19.65606577,9.491800128,2.437,47.788,19.608,31.40273996,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI05_ACRU_B_2008","FFT",NA,NA,51.3294,NA
"448","BI05_ACRU_M",2008,"BI","BI05","M",NA,28.16890175,18.49088359,9.678018162,2.738,47.568,17.373,34.62727508,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI05_ACRU_M_2008","FFT",NA,NA,58.86637,NA
"449","BI05_ACRU_T",2008,"BI","BI05","T",NA,NA,NA,NA,3.658,48.6115,13.29,56.34802035,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI05_ACRU_T_2008","FFT",NA,NA,79.64273,NA
"450","BI05_PIRE_BN",2008,"BI","BI05","B",NA,51.93653856,29.96310139,21.97343717,1.749,49.319,28.205,185.1252907,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI05_PIRE_BN_2008","FFT","N",NA,432.47239,NA
"451","BI05_PIRE_BO",2008,"BI","BI05","B",NA,49.054075015,27.870818985,21.183256025,1.983,50.303,25.37,221.3513979,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI05_PIRE_BO_2008","FFT","O",NA,316.02823,NA
"452","BI05_PIRE_MN",2008,"BI","BI05","M",NA,46.04857535,23.88602971,22.16254565,1.564,49.358,31.568,209.6080753,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI05_PIRE_MN_2008","FFT","N",NA,470.43429,NA
"453","BI05_PIRE_MO",2008,"BI","BI05","M",NA,44.38330478,28.06215299,16.3211518,1.886,50.579,26.818,229.8981442,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI05_PIRE_MO_2008","FFT","O",NA,292.95592,NA
"454","BI05_PIRE_TN",2008,"BI","BI05","T",NA,47.76656115,29.64970012,18.11686103,1.447,49.917,34.508,207.6100921,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI05_PIRE_TN_2008","FFT","N",NA,441.73523,NA
"455","BI05_PIRE_TO",2008,"BI","BI05","T",NA,49.73439419,29.82757103,19.90682316,1.969,50.88,25.838,274.1754682,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI05_PIRE_TO_2008","FFT","O",NA,405.19555,NA
"456","BI05_PIRE_TO",2010,"BI","BI05","T",NA,46.5897322666667,25.1000366933333,21.48969558,NA,NA,NA,NA,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE",NA,NA,"FFT","O",NA,NA,NA
"457","BI05_PIST_BN",2008,"BI","BI05","B",NA,49.98564531,27.6614741,22.32417121,1.742,48.285,27.725,75.93215217,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI05_PIST_BN_2008","FFT","N",NA,176.04171,NA
"458","BI05_PIST_BO",2008,"BI","BI05","B",NA,52.50523887,32.48655227,20.0186866,1.882,48.8,25.934,101.875617,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI05_PIST_BO_2008","FFT","O",NA,137.41362,NA
"459","BI05_PIST_MN",2008,"BI","BI05","M",NA,45.73894355,26.41125749,19.32768607,1.669,48.838,29.262,94.27231961,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI05_PIST_MN_2008","FFT","N",NA,190.07338,NA
"460","BI05_PIST_MO",2008,"BI","BI05","M",NA,NA,NA,NA,1.79,49.631,27.726,110.5975569,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI05_PIST_MO_2008","FFT","O",NA,148.56388,NA
"461","BI05_PIST_TN",2008,"BI","BI05","T",NA,42.36058616,29.38501812,12.97556804,1.426,49.036,34.377,116.6600477,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI05_PIST_TN_2008","FFT","N",NA,206.01668,NA
"462","BI05_PIST_TO",2008,"BI","BI05","T",NA,47.55611187,29.53515249,18.02095938,1.518,49.983,32.926,159.6431506,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI05_PIST_TO_2008","FFT","O",NA,183.12008,NA
"463","BI06_ACRU_B",2008,"BI","BI06","B",NA,32.56171985,17.20662014,15.35509971,2.6465,47.4815,17.942,31.92438016,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI06_ACRU_B_2008","FFT",NA,NA,55.8155,NA
"464","BI06_ACRU_M",2008,"BI","BI06","M",NA,30.48159772,21.15560466,9.325993063,2.8245,48.403,17.1345,39.74898314,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI06_ACRU_M_2008","FFT",NA,NA,66.45696,NA
"465","BI06_ACRU_T",2008,"BI","BI06","T",NA,32.24152494,19.22355297,13.01797197,2.306,50.0155,21.694,60.86005923,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_BI06_ACRU_T_2008","FFT",NA,NA,76.38987,NA
"466","BI06_PIRE_MN",2008,"BI","BI06","M",NA,48.47072893,30.38154654,18.08918239,1.638,50.398,30.77,170.1796821,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI06_PIRE_MN_2008","FFT","N",NA,392.51469,NA
"467","BI06_PIRE_MO",2008,"BI","BI06","M",NA,48.99584193,29.93118881,19.06465312,1.855,51.478,27.753,228.1904508,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI06_PIRE_MO_2008","FFT","O",NA,314.94054,NA
"468","BI06_PIRE_TN",2008,"BI","BI06","T",NA,41.47849842,20.16911413,21.3093843,1.878,50.823,27.061,249.4065903,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI06_PIRE_TN_2008","FFT","N",NA,516.26641,NA
"469","BI06_PIRE_TO",2008,"BI","BI06","T",NA,45.00958387,26.29242211,18.71716176,1.937,51.694,26.685,284.306403,"Pinus resinosa","red pine","Pinaceae","conifer","early","north pine","PIRE","ASD FieldSpec 3","FFT_BI06_PIRE_TO_2008","FFT","O",NA,390.61818,NA
"470","BI06_PIST_BN",2008,"BI","BI06","B",NA,49.91299862,29.13213141,20.78086721,1.672,47.374,28.33,86.83837429,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI06_PIST_BN_2008","FFT","N",NA,205.57656,NA
"471","BI06_PIST_BO",2008,"BI","BI06","B",NA,52.24439202,34.30500704,17.93938498,1.79,48.55,27.117,111.7341301,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI06_PIST_BO_2008","FFT","O",NA,159.62019,NA
"472","BI06_PIST_MN",2008,"BI","BI06","M",NA,42.95294476,24.808,18.14494476,1.63,47.848,29.349,112.2148639,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI06_PIST_MN_2008","FFT","N",NA,206.49375,NA
"473","BI06_PIST_MO",2008,"BI","BI06","M",NA,45.8751793,31.9585019,13.9166774,1.844,49.571,26.885,140.3680581,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI06_PIST_MO_2008","FFT","O",NA,154.24165,NA
"474","BI06_PIST_TN",2008,"BI","BI06","T",NA,41.30322652,25.81834936,15.48487716,1.518,50.272,33.117,103.5008716,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI06_PIST_TN_2008","FFT","N",NA,198.28588,NA
"475","BI06_PIST_TO",2008,"BI","BI06","T",NA,47.59463975,31.49446111,16.10017864,1.716,52.215,30.428,189.5552608,"Pinus strobus","eastern white pine","Pinaceae","conifer","north","north pine","PIST","ASD FieldSpec 3","FFT_BI06_PIST_TO_2008","FFT","O",NA,209.45333,NA
"476","BI06_QUAL_B",2008,"BI","BI06","B",NA,41.11462748,27.19589232,13.91873516,3.902,47.1005,12.0695,38.71958941,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI06_QUAL_B_2008","FFT",NA,NA,58.13185,NA
"477","BI06_QUAL_M",2008,"BI","BI06","M",NA,NA,NA,NA,4.143,49.417,11.928,76.6811092,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL",NA,NA,"FFT",NA,NA,101.40685,NA
"478","BI06_QUAL_T",2008,"BI","BI06","T",NA,NA,NA,NA,3.517,48.378,13.7555,87.51256792,"Quercus alba","white oak","Fagaceae","broadleaf","mid","mid hardwood","QUAL","ASD FieldSpec 3","FFT_BI06_QUAL_T_2008","FFT",NA,NA,110.28262,NA
"479","BI06_QURU_B",2008,"BI","BI06","B",NA,45.79840804,30.93617618,14.86223186,3.314,46.845,14.137,39.85331118,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU",NA,NA,"FFT",NA,NA,57.48475,NA
"480","BI06_QURU_M",2008,"BI","BI06","M",NA,46.53700217,26.63684945,19.90015272,3.213,47.691,14.841,61.48964605,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI06_QURU_M_2008","FFT",NA,NA,84.78436,NA
"481","BI06_QURU_T",2008,"BI","BI06","T",NA,NA,NA,NA,3.059,49.006,16.018,112.8009718,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU","ASD FieldSpec 3","FFT_BI06_QURU_T_2008","FFT",NA,NA,148.79235,NA
"482","BI06_QURU_T",2010,"BI","BI06","T",NA,44.327074405,30.5385527,13.788521705,NA,NA,NA,NA,"Quercus rubra","northern red oak","Fagaceae","broadleaf","mid","mid hardwood","QURU",NA,NA,"FFT",NA,NA,NA,NA
"483","BI09_ACRU_T",2010,"BI","BI09","T",NA,31.40464408,18.59535592,12.80928816,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU",NA,NA,"FFT",NA,NA,NA,NA
"484","DC00_ACRU_B",2010,"DC","DC00","B",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_DC00_ACRU_B_2010","FFT",NA,NA,NA,NA
"485","DC00_ACRU_M",2010,"DC","DC00","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_DC00_ACRU_M_2010","FFT",NA,NA,NA,NA
"486","DC00_ACRU_T",2010,"DC","DC00","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer rubrum","Red maple","Aceraceae","broadleaf","late","late hardwood","ACRU","ASD FieldSpec 3","FFT_DC00_ACRU_T_2010","FFT",NA,NA,NA,NA
"487","DC00_ACSM_B",2010,"DC","DC00","B",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_DC00_ACSM_B_2010","FFT",NA,NA,NA,NA
"488","DC00_ACSM_M",2010,"DC","DC00","M",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_DC00_ACSM_M_2010","FFT",NA,NA,NA,NA
"489","DC00_ACSM_T",2010,"DC","DC00","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_DC00_ACSM_T_2010","FFT",NA,NA,NA,NA
"490","DC02_ACSN_B",2009,"DC","DC02","B",NA,NA,NA,NA,NA,NA,NA,36.68994908,"Acer saccharinum","Silver maple","Aceraceae","broadleaf","late","late hardwood","ACSA2","ASD FieldSpec 3","FFT_DC02_ACSN_B_2009","FFT",NA,NA,65.18321,NA
"491","DC02_ACSN_M",2009,"DC","DC02","M",NA,NA,NA,NA,NA,NA,NA,47.52129044,"Acer saccharinum","Silver maple","Aceraceae","broadleaf","late","late hardwood","ACSA2","ASD FieldSpec 3","FFT_DC02_ACSN_M_2009","FFT",NA,NA,73.67264,NA
"492","DC02_ACSN_T",2009,"DC","DC02","T",NA,NA,NA,NA,NA,NA,NA,92.06640149,"Acer saccharinum","Silver maple","Aceraceae","broadleaf","late","late hardwood","ACSA2","ASD FieldSpec 3","FFT_DC02_ACSN_T_2009","FFT",NA,NA,98.7994,NA
"493","DC02_RHCA_T",2009,"DC","DC02","T",NA,NA,NA,NA,NA,NA,NA,36.39721013,"Rhamnus cathartica","Common buckthorn","Rhamnaceae","broadleaf","late","late hardwood","RHCA3","ASD FieldSpec 3","FFT_DC02_RHCA_T_2009","FFT",NA,NA,95.04258,NA
"494","DC03_ACSM_B",2009,"DC","DC03","B",NA,NA,NA,NA,NA,NA,NA,28.10293972,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_DC03_ACSM_B_2009","FFT",NA,NA,51.71722,NA
"495","DC03_ACSM_M",2009,"DC","DC03","M",NA,NA,NA,NA,NA,NA,NA,47.52129044,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_DC03_ACSM_M_2009","FFT",NA,NA,71.03799,NA
"496","DC03_ACSM_T",2009,"DC","DC03","T",NA,NA,NA,NA,NA,NA,NA,NA,"Acer saccharum","Sugar maple","Aceraceae","broadleaf","late","late hardwood","ACSA3","ASD FieldSpec 3","FFT_DC03_ACSM_T_2009","FFT",NA,NA,NA,NA
